Screen Name,Real Name,Tweets,Followers,Following,Favorites Count
katyperry,KATY PERRY,9260,106962186,216,6037
justinbieber,Justin Bieber,30540,104425204,304700,3406
BarackObama,Barack Obama,15525,102280561,619094,11
Taylorswift13,Taylor Swift,100,83352958,0,464
rihanna,Rihanna,10178,87552498,1106,1004
youtube,YouTube,22814,70827129,1018,2266
theellenshow,Ellen DeGeneres,17384,76342069,35558,999
ladygaga,Lady Gaga,8807,76811862,126399,1937
twitter,Twitter,7140,55364086,140,5513
jtimberlake,Justin Timberlake,4010,64398221,287,236
britneyspears,Britney Spears,5553,56248638,384878,2563
cristiano,Cristiano Ronaldo,3264,74631110,99,0
kimkardashian,Kim Kardashian West,27953,58792877,135,5
selenagomez,Selena Gomez,4368,56525198,1220,169
cnnbrk,CNN Breaking News,62939,54238275,121,19
jimmyfallon,jimmy fallon,11175,50385290,8199,270
arianagrande,Ariana Grande,42362,57665483,63185,35966
shakira,Shakira ðŸ¤«,5852,50707992,211,1261
ddlovato,Demi Lovato,17084,57142933,539,2084
jlo,Jennifer Lopez,13757,43826190,1701,7206
instagram,Instagram,11968,37077666,4,205
oprah,Oprah Winfrey,12545,41543975,297,156
drake,Drizzy,1713,37080303,630,15
kingjames,LeBron James,5940,41483965,185,123
nytimes,The New York Times,333831,41980486,876,17291
billgates,Bill Gates,2817,45807523,191,63
cnn,CNN,203314,40402687,1116,1453
kevinhart4real,Kevin Hart,37502,34507883,555,91
mileycyrus,Miley Ray Cyrus,9255,40612595,389,286
onedirection,One Direction,9898,31102395,3788,295
sportscenter,SportsCenter,104838,35204677,1662,1113
espn,ESPN,96937,33665226,242,128
bbcbreaking,BBC Breaking News,34879,38241000,3,0
harry_styles,Harry Styles.,5487,32562386,2016,102
pink,P!nk,7126,31851188,457,532
liltunechi,Lil Wayne WEEZY F,1895,33634706,48,13
wizkhalifa,Wiz Khalifa,44490,33381771,832,58
niallofficial,Niall Horan,12902,39388736,5977,408
brunomars,Bruno Mars,4428,41989216,109,290
adele,Adele,307,27935487,0,0
narendramodi,Narendra Modi,20542,43966352,2065,0
neymarjr,Neymar Jr,41239,40987366,737,820
kanyewest,ye,467,28421811,8,2
kaka,Kaka,5017,29616525,304,98
actuallynph,Neil Patrick Harris,2935,27071672,133,205
realdonaldtrump,Donald J. Trump,39038,54552181,47,25
danieltosh,daniel tosh,13833,26298126,135,2
srbachchan,Amitabh Bachchan,63066,35025341,1870,63
aliciakeys,Alicia Keys,7770,29889507,704,413
nba,NBA,206471,27304220,1673,363
